ko	pathway	product	map
V1037529	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037534	K02963	Ribosome	small subunit ribosomal protein S18	map03010
V1037541	K00867	Pantothenate and CoA biosynthesis	type I pantothenate kinase	map00770
V1037548	K02433	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	map00970
V1037557	K02600	Transcription machinery	transcription termination/antitermination protein NusA	ko03021
V1037560	K08282	Enzymes with EC numbers	non-specific serine/threonine protein kinase	99980
V1037561	K02864	Ribosome	large subunit ribosomal protein L10	map03010
V1037562	K02935	Ribosome	large subunit ribosomal protein L7/L12	map03010
V1037563	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1037566	K02518	Translation factors	translation initiation factor IF-1	ko03012
V1037571	K02588	Nitrogen metabolism	nitrogenase iron protein NifH	map00910
V1037578	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037581	K02026	Transporters	multiple sugar transport system permease protein	ko02000
V1037582	K02933	Ribosome	large subunit ribosomal protein L6	map03010
V1037583	K02881	Ribosome	large subunit ribosomal protein L18	map03010
V1037588	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037593	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037601	K01652	Valine, leucine and isoleucine biosynthesis	acetolactate synthase I/II/III large subunit	map00290
V1037621	K02911	Ribosome	large subunit ribosomal protein L32	map03010
V1037627	K09817	ABC transporters	zinc transport system ATP-binding protein	map02010
V1037628	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037630	K02952	Ribosome	small subunit ribosomal protein S13	map03010
V1037631	K02948	Ribosome	small subunit ribosomal protein S11	map03010
V1037633	K03699	Bacterial toxins	magnesium and cobalt exporter, CNNM family	ko02042
V1037635	K07862	Transporters	serine/threonine transporter	ko02000
V1037643	K00088	Purine metabolism	IMP dehydrogenase	map00230
V1037663	K02118	Oxidative phosphorylation	V/A-type H+/Na+-transporting ATPase subunit B	map00190
V1037665	K02899	Ribosome	large subunit ribosomal protein L27	map03010
V1037676	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037678	K01358	Clp-dependent proteolysis	ATP-dependent Clp protease, protease subunit	ko01002
V1037682	K03497	Transcription factors	ParB family transcriptional regulator, chromosome partitioning protein	ko03000
V1037687	K04077	Molecular chaperones	chaperonin GroEL	ko03110
V1037694	K02529	Transcription factors	LacI family transcriptional regulator, galactose operon repressor	ko03000
V1037695	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037710	K02959	Ribosome	small subunit ribosomal protein S16	map03010
V1037711	K09760	Replication and repair	DNA recombination protein RmuC	99976
V1037714	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037715	K02031	Quorum sensing	peptide/nickel transport system ATP-binding protein	map02024
V1037718	K03040	RNA polymerase	DNA-directed RNA polymerase subunit alpha	map03020
V1037719	K02879	Ribosome	large subunit ribosomal protein L17	map03010
V1037729	K01996	ABC transporters	branched-chain amino acid transport system ATP-binding protein	map02010
V1037732	K00975	Amino sugar and nucleotide sugar metabolism	glucose-1-phosphate adenylyltransferase	map00520
V1037737	K02824	Transporters	uracil permease	ko02000
V1037748	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037750	K02529	Transcription factors	LacI family transcriptional regulator, galactose operon repressor	ko03000
V1037762	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037765	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037766	K02948	Ribosome	small subunit ribosomal protein S11	map03010
V1037767	K02119	Oxidative phosphorylation	V/A-type H+/Na+-transporting ATPase subunit C	map00190
V1037768	K04069	Enzymes with EC numbers	pyruvate formate lyase activating enzyme	99980
V1037770	K09685	Transcription factors	HTH-type transcriptional regulator, purine operon repressor	ko03000
V1037786	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037787	K09117	Function unknown	uncharacterized protein	99997
V1037792	K03695	Protein digestion and absorption	ATP-dependent Clp protease ATP-binding subunit ClpB	map04974
V1037796	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037801	K02867	Ribosome	large subunit ribosomal protein L11	map03010
V1037812	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037858	K02888	Ribosome	large subunit ribosomal protein L21	map03010
V1037859	K07584	Function unknown	uncharacterized protein	99997
V1037865	K02959	Ribosome	small subunit ribosomal protein S16	map03010
V1037868	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037872	K02477	Two-component system	two-component system, LytTR family, response regulator	ko02022
V1037878	K01715	Fatty acid biosynthesis	enoyl-CoA hydratase	map00650
V1037879	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037884	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1037903	K02879	Ribosome	large subunit ribosomal protein L17	map03010
V1037934	K02838	Translation factors	ribosome recycling factor	ko03012
V1037941	K02965	Ribosome	small subunit ribosomal protein S19	map03010
V1037942	K02890	Ribosome	large subunit ribosomal protein L22	map03010
V1037958	K02990	Ribosome	small subunit ribosomal protein S6	map03010
V1037967	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037993	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037998	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038020	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038036	K02884	Ribosome	large subunit ribosomal protein L19	map03010
V1038038	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038076	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038084	K01835	Glycolysis / Gluconeogenesis	phosphoglucomutase	map00010
V1038205	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038210	K02774	Phosphotransferase system (PTS)	galactitol PTS system EIIB component	map02060
V1038248	K13288	Messenger RNA biogenesis	oligoribonuclease	ko03019
V1038249	K08681	Vitamin B6 metabolism	pyridoxal 5'-phosphate synthase pdxT subunit	map00750
V1038250	K01945	Purine metabolism	phosphoribosylamine---glycine ligase	map00230
V1038251	K00764	Purine metabolism	amidophosphoribosyltransferase	map00230
V1038252	K02115	Oxidative phosphorylation	F-type H+-transporting ATPase subunit gamma	map00190
V1038254	K11754	Folate biosynthesis	dihydrofolate synthase / folylpolyglutamate synthase	map00790
V1038255	K01866	Aminoacyl-tRNA biosynthesis	tyrosyl-tRNA synthetase	map00970
V1038256	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038257	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1038258	K02050	Transporters	NitT/TauT family transport system permease protein	ko02000
V1038259	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038260	K02006	ABC transporters	cobalt/nickel transport system ATP-binding protein	map02010
V1038263	K11533	Fatty acid biosynthesis	fatty acid synthase, bacteria type	map00061
V1038265	K01866	Aminoacyl-tRNA biosynthesis	tyrosyl-tRNA synthetase	map00970
V1038266	K03596	Legionellosis	GTP-binding protein LepA	map05134
V1038267	K01868	Aminoacyl-tRNA biosynthesis	threonyl-tRNA synthetase	map00970
V1038268	K02038	ABC transporters	phosphate transport system permease protein	map02010
V1038269	K07498	Replication and repair	putative transposase	99976
V1038270	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038271	K01937	Pyrimidine metabolism	CTP synthase	map00240
V1038272	K04567	Aminoacyl-tRNA biosynthesis	lysyl-tRNA synthetase, class II	map00970
V1038276	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038277	K03702	Nucleotide excision repair	excinuclease ABC subunit B	map03420
V1038279	K03427	Prokaryotic defense system	type I restriction enzyme M protein	ko02048
V1038280	K04763	Chromosome and associated proteins	integrase/recombinase XerD	ko03036
V1038281	K01154	Prokaryotic defense system	type I restriction enzyme, S subunit	ko02048
V1038283	K03458	Transport	nucleobase:cation symporter-2, NCS2 family	99977
V1038284	K02469	DNA replication	DNA gyrase subunit A	map03030
V1038285	K01567	Enzymes with EC numbers	peptidoglycan-N-acetylmuramic acid deacetylase	99980
V1038286	K03431	Amino sugar and nucleotide sugar metabolism	phosphoglucosamine mutase	map00520
V1038287	K03733	Chromosome and associated proteins	integrase/recombinase XerC	ko03036
V1038288	K00525	Purine metabolism	ribonucleoside-diphosphate reductase alpha chain	map00230
V1038290	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038293	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038295	K01872	Aminoacyl-tRNA biosynthesis	alanyl-tRNA synthetase	map00970
V1038297	K01687	Valine, leucine and isoleucine biosynthesis	dihydroxy-acid dehydratase	map00290
V1038298	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1038299	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038300	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038301	K03695	Protein digestion and absorption	ATP-dependent Clp protease ATP-binding subunit ClpB	map04974
V1038308	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038311	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1038313	K04517	Phenylalanine, tyrosine and tryptophan biosynthesis	prephenate dehydrogenase	map00400
V1038315	K07636	Two-component system	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	map02020
V1038317	K03975	General function prediction only	membrane-associated protein	99996
V1038323	K10110	ABC transporters	maltose/maltodextrin transport system permease protein	map02010
V1038324	K09687	NotAssigned	NotAssigned	NotAssigned
V1038325	K00599	Transfer RNA biogenesis	tRNA N(3)-methylcytidine methyltransferase METTL6	ko03016
V1038329	K03446	Transporters	MFS transporter, DHA2 family, multidrug resistance protein	ko02000
V1038330	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038344	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038350	K00074	Butanoate metabolism	3-hydroxybutyryl-CoA dehydrogenase	map00650
V1038361	K02358	Translation	elongation factor Tu	ko03012
V1038364	K00059	Fatty acid biosynthesis	3-oxoacyl-[acyl-carrier protein] reductase	map00061
V1038379	K00949	Thiamine metabolism	thiamine pyrophosphokinase	map00730
V1038383	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038386	K02015	Transporters	iron complex transport system permease protein	ko02000
V1038399	K03686	Chaperones and folding catalysts	molecular chaperone DnaJ	ko03110
V1038412	K03744	General function prediction only	LemA protein	99996
V1038415	K01887	Aminoacyl-tRNA biosynthesis	arginyl-tRNA synthetase	map00970
V1038416	K07447	Ribosome biogenesis	putative pre-16S rRNA nuclease	ko03009
V1038419	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038424	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1038426	K01265	Peptidases and inhibitors	methionyl aminopeptidase	ko01002
V1038430	K06901	Transporters	adenine/guanine/hypoxanthine permease	ko02000
V1038440	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038442	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038450	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038462	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038467	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038493	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038504	K01934	One carbon pool by folate	5-formyltetrahydrofolate cyclo-ligase	map00670
V1038507	K05808	Ribosome biogenesis	ribosome hibernation promoting factor	ko03009
V1038514	K01754	Glycine, serine and threonine metabolism	threonine dehydratase	map00260
V1038527	K03605	Peptidases and inhibitors	hydrogenase maturation protease	ko01002
V1038532	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038541	K06191	Protein processing	glutaredoxin-like protein NrdH	99975
V1038560	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038605	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038697	K03856	Phenylalanine, tyrosine and tryptophan biosynthesis	3-deoxy-7-phosphoheptulonate synthase	map00400
V1038810	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038826	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038951	K03722	DNA repair and recombination proteins	ATP-dependent DNA helicase DinG	ko03400
V1038967	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038969	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1038970	K00656	Pyruvate metabolism	formate C-acetyltransferase	map00620
V1039001	K06207	Signaling proteins	GTP-binding protein	99995
V1039002	K07114	Transporters	Ca-activated chloride channel homolog	ko02000
V1039004	K01227	Other glycan degradation	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	map00511
V1039005	K01227	Other glycan degradation	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	map00511
V1039006	K04066	Homologous recombination	primosomal protein N' (replication factor Y) (superfamily II helicase)	map03440
V1039077	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1039080	K00998	Glycine, serine and threonine metabolism	CDP-diacylglycerol---serine O-phosphatidyltransferase	map00260
V1039094	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1039101	K03545	Protein processing	trigger factor	99975
V1039132	K02005	Structural proteins	HlyD family secretion protein	99992
V1039161	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1039228	K03152	Peptidases and inhibitors	protein deglycase	ko01002
V1039230	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1039243	K03979	Ribosome biogenesis	GTPase	ko03009
V1039257	K12506	Terpenoid backbone biosynthesis	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	map00900
V1039263	K01775	Alanine aspartate and glutamate metabolism	alanine racemase	map00250
V1039273	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1039274	K01866	Aminoacyl-tRNA biosynthesis	tyrosyl-tRNA synthetase	map00970
V1039311	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1039321	K02621	DNA replication	topoisomerase IV subunit A	map03030
V1039332	K03306	Transport	inorganic phosphate transporter, PiT family	99977
V1039335	K01915	Alanine aspartate and glutamate metabolism	glutamine synthetase	map00250
V1039342	K02864	Ribosome	large subunit ribosomal protein L10	map03010
V1039343	K02935	Ribosome	large subunit ribosomal protein L7/L12	map03010
V1039344	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1039358	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1039373	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1039384	K03324	Transporters	phosphate:Na+ symporter	ko02000
V1039386	K03773	Chaperones and folding catalysts	FKBP-type peptidyl-prolyl cis-trans isomerase FklB	ko03110
V1039387	K01802	Enzymes with EC numbers	peptidylprolyl isomerase	99980
V1039396	K01876	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA synthetase	map00970
V1039401	K03657	Nucleotide excision repair	ATP-dependent DNA helicase UvrD/PcrA	map03420
V1039405	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1039413	K00088	Purine metabolism	IMP dehydrogenase	map00230
V1039414	K01869	Aminoacyl-tRNA biosynthesis	leucyl-tRNA synthetase	map00970
V1039417	K05813	ABC transporters	sn-glycerol 3-phosphate transport system substrate-binding protein	map02010
V1039422	K00027	Citrate cycle (TCA cycle)	malate dehydrogenase (oxaloacetate-decarboxylating)	map00020
V1039441	K02014	Transporters	iron complex outermembrane recepter protein	ko02000
V1039443	K02313	DNA replication	chromosomal replication initiator protein	map03030
V1039444	K02067	ABC transporters	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	map02010
V1039461	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1039465	K04567	Aminoacyl-tRNA biosynthesis	lysyl-tRNA synthetase, class II	map00970
V1039475	K03470	DNA replication	ribonuclease HII	map03030
V1039489	K01537	Enzymes with EC numbers	P-type Ca2+ transporter type 2C	99980
V1039495	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1039553	K00812	Alanine aspartate and glutamate metabolism	aspartate aminotransferase	map00250
V1039554	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1039565	K02836	Translation factors	peptide chain release factor 2	ko03012
V1039566	K01897	Fatty acid biosynthesis	long-chain acyl-CoA synthetase	map00061
